paradisaical: paradisiacal 
dilutes: duelist 
tilde: tiled 
tilted: titled 
devil: lived 
wield: wilde wiled 
dewily: widely wieldy 
dime: idem 
dimmer: rimmed 
midterm: trimmed 
dummies: mediums 
denim: mined 
dominoes: monodies 
demotion: motioned 
minder: remind 
minders: reminds 
dimness: missend 
sodomies: sodomise 
moodiest: sodomite 
dumpier: umpired 
mired: rimed 
deism: dimes 
deisms: missed 
demist: misted 
demit: timed 
dine: enid 
dennis: sinned 
dentins: indents intends 
dentin: indent intend tinned 
poisoned: poseidon 
opined: ponied 
indore: ironed 
indorse: ordines rosined 
rowdiness: wordiness 
edison: noised onside 
diners: rinsed snider 
insureds: sundries 
strident: tridents 
rewinds: winders 
intrude: untired untried 
inured: ruined 
rewind: winder 
denis: dines snide 
dissent: snidest 
dentist: stinted 
density: destiny 
indues: undies 
disney: sidney snidey 
united: untied 
edwin: widen wined 
index: nixed 
depositor: droopiest 
dopier: period 
disposer: dropsies 
disprove: provides 
deposits: topsides 
deposit: dopiest posited topside 
rowdier: wordier worried 
editors: sortied steroid storied 
rowdiest: wordiest 
devisor: visored 
dowries: rowdies weirdos 
editor: rioted 
detroit: dottier 
devoir: voider 
outside: tedious 
pride: pried 
prides: prised spider 
disputer: stupider 
direr: drier 
reid: ride 
driers: riders 
stirred: strider 
dries: rides sired 
direst: driest stride 
diverts: strived 
divers: drives 
tired: tried 
diver: drive rived verdi 
weird: wider wired 
dies: ides side 
deists: desist 
disuse: issued 
deist: diets edits sited tides 
duties: suited 
dives: vised 
diet: edit tide tied 
dewitt: witted 
devi: dive vide vied 
dykes: skyed 
drollest: strolled 
molder: remold 
molders: remolds smolder 
moulders: remoulds smoulder 
moulder: remould 
models: seldom 
lumped: plumed 
loden: olden 
splendors: splendors 
splendours: splendours splendrous 
dole: lode olde 
looped: poodle pooled 
poodles: spooled 
loosed: oodles soloed 
looted: toledo tooled 
elwood: wooled 
resold: solder 
louder: loured 
delos: doles lodes soled 
loudest: tousled 
loused: souled 
dowels: slowed 
dowel: lowed 
duple: puled 
rustled: strudel 
lured: ruled 
duels: slued 
lewd: weld 
demo: dome edom mode 
moored: roomed 
demos: domes modes 
mused: sedum 
den: end ned 
denton: tendon 
dunnest: stunned 
done: node 
snooped: spooned 
ponders: respond 
drone: ronde 
drones: snored 
dourness: resounds sounders 
rodents: snorted 
roundest: tonsured unsorted 
resound: sounder 
downers: wonders 
downer: wonder 
rodney: yonder 
edson: nodes nosed 
endows: snowed 
noted: toned 
endow: owned woden 
dozen: zoned 
prudent: uptrend 
pends: spend 
nerd: rend 
nerds: rends 
sunders: undress 
nursed: sunder 
nuder: under 
dens: ends send 
dents: tends 
student: stunted 
dunes: nudes 
dent: tend 
dune: nude 
doe: ode 
torpedo: trooped 
dope: oped 
doper: pedro pored roped 
dopers: spored 
deports: sported 
postured: proudest sprouted 
deport: ported 
dopes: posed 
depots: despot posted 
pseudo: souped 
depot: opted 
doer: dore oder redo rode 
dourer: ordure 
dossers: drosses 
dowsers: drowses 
dorset: doters sorted stored strode 
detours: dourest rousted 
douser: roused soured 
dowers: dowser drowse 
dotter: rotted 
detour: routed toured 
dover: drove roved 
dower: rowed 
does: dose odes 
douses: soused 
dotes: odets 
dowse: sowed 
dote: toed 
drupes: dupers prudes pursed 
pursued: usurped 
drupe: duper prude 
dupes: pseud 
durer: ruder 
derry: dryer 
dusters: trussed 
duster: rudest rusted 
rude: rued 
dues: duse sued used 
dews: weds 
dew: wed 
dewy: edwy 
foundling: unfolding 
fondus: founds 
fondu: found 
drugging: grudging 
gilding: gliding 
gildings: glidings 
girding: ridging 
golding: lodging 
dunging: nudging 
dishing: hidings hidings shindig 
sidling: sliding 
ingrid: riding 
dignity: tidying 
domingo: dooming 
sounding: undoings 
dingo: doing 
drowsing: wordings 
doings: dosing 
dingy: dying 
gird: grid 
girds: grids 
gordon: grodno 
dog: god 
dogs: gods 
humidors: rhodiums 
humidor: rhodium 
holdups: upholds 
holdup: uphold 
hounds: hudson unshod 
doh: hod 
dohs: dosh hods shod 
dilutions: dilutions 
nudnik: unkind 
disk: kids 
dilly: idyll 
idol: lido 
rowdily: wordily 
idols: lidos solid 
lids: sild slid 
idly: idyl 
dim: mid 
odiums: sodium 
nodi: odin 
upwind: windup 
nudity: untidy 
disport: tripods 
torpid: tripod 
ovid: void 
quids: squid 
dis: ids 
drolly: lordly 
dolly: lloyd 
lowdowns: slowdown 
dolor: drool 
dolors: drools 
olds: sold 
dolt: told 
loud: ludo 
loyd: oldy 
doom: mood 
woodworms: wormwoods 
woodworm: wormwood 
dooms: moods sodom 
downturn: turndown 
don: nod 
donor: rondo 
donors: rondos 
rotund: untrod 
dons: nods 
nodus: sound 
doorposts: doorstops 
doorpost: doorstop 
door: odor ordo rood 
doors: odors roods 
douro: odour 
drop: prod 
drops: prods 
sword: words 
dowry: rowdy wordy 
dost: dots 
puds: spud 
durst: turds 
dusts: studs 
dust: stud 
dusty: study 
impressivenesses: permissivenesses 
restrengthens: strengtheners 
restrengthen: strengthener 
energies: energise 
greene: renege 
greener: reneger 
esthete: teethes 
impressiveness: permissiveness 
entireties: eternities 
evilnesses: vilenesses 
enlistee: selenite 
relievers: revelries 
leeriest: sleetier steelier 
sleetiest: steeliest 
ernestine: internees 
interpreters: reinterprets 
interpreter: reinterpret 
enterprises: intersperse 
repertoires: repertories 
steelworker: teleworkers 
oversleeps: sleepovers 
oversleep: sleepover 
peelers: sleeper 
peerless: sleepers 
levees: sleeve 
overseen: veronese 
presenters: represents 
presenter: represent 
preteens: pretense 
reenter: terrene 
evener: veneer 
sweetness: wetnesses 
perverse: preserve 
sweeper: weepers 
reserves: reverses 
reserve: reveres reverse severer 
reeves: severe 
forfeitures: forfeitures 
jeffery: jeffrey 
feeling: fleeing 
feigner: freeing reefing 
fleshlier: shellfire 
fresher: refresh 
freshest: freshets 
infertile: interfile 
feistier: fieriest 
feistiest: testifies 
liefer: refile relief 
filterer: refilter 
refiles: reliefs 
lefties: liefest 
fernier: refiner 
ferniest: infester 
putrefies: stupefier 
feel: flee 
ferules: refuels 
ferule: fueler refuel 
feels: flees 
fettles: leftest 
forewent: freetown 
foresters: reforests 
forester: reforest 
free: reef 
freer: refer 
frees: reefs 
fester: freest 
feet: fete 
greening: reneging 
lighteners: sheltering 
lengthier: lightener 
ethologies: theologies 
greenish: sheering 
tethering: tightener 
seething: sheeting 
inveigler: relieving 
intervening: reinventing 
keening: kneeing 
keeping: peeking 
grenville: revelling 
peelings: sleeping 
leering: reeling 
letterings: resettling 
levering: reveling 
gentiles: sleeting steeling 
eulogies: eulogise 
metering: regiment 
meeting: teeming 
emigre: regime 
emigres: regimes 
ingenues: unseeing 
genuine: ingenue 
presetting: pretesting 
reserving: reversing 
synergies: synergies 
gentries: integers steering 
resetting: retesting 
integer: treeing 
reeving: veering 
genies: seeing 
regisseur: surgeries 
grieve: regive 
genre: green 
genres: greens 
energy: greeny 
genet: tenge 
egrets: greets 
egret: greet 
homeliest: lithesome 
nephrite: trephine 
herein: inhere 
resynthesis: synthesiser 
neither: therein 
theories: theorise 
rehires: sherrie 
polythene: telephony 
reupholsters: upholsterers 
reupholster: upholsterer 
horseless: shoreless 
helves: shelve 
ethel: lethe 
homeowners: horsewomen 
hermes: shmeer 
honester: hortense 
nowhere: whereon 
howsoever: whosoever 
hereto: hetero 
however: whoever 
herpes: sphere 
here: rhee 
heres: sheer 
esther: ethers hester theres threes 
hewers: wheres 
ether: there three 
hewer: where 
sheets: theses 
sheet: these 
millimeters: millimetres 
millimeter: millimetre 
solemnities: solemnities 
impressively: permissively 
impressive: permissive 
einstein: nineties 
petitioners: repetitions 
petitioner: repetition 
jennie: jinnee 
kilometers: kilometres 
kilometer: kilometre 
ellipses: pileless 
limestones: milestones 
limestone: milestone 
limpnesses: simpleness 
interlopes: repletions 
interlope: repletion 
lionesses: noiseless 
penlites: plenties 
listeners: reenlists 
leinster: listener reenlist silenter 
ensile: senile 
evilness: vileness 
lisente: tensile 
peristyle: priestley 
pulverise: repulsive 
perlite: reptile 
revilers: silverer 
leviers: relives reviles servile 
eviler: levier relive revile 
elise: elsie 
elites: listee 
memories: memorise 
nemesis: siemens 
empire: premie 
premiers: simperer 
impresser: reimpress 
empires: premise 
impresses: premisses 
merriest: triremes 
emitters: termites 
emitter: termite 
puninesses: supineness 
inverness: nerviness 
intenser: internes 
isoprene: pioneers 
perviousness: previousness 
entropies: interpose 
reversions: reversions 
orneriest: reorients 
persistent: pinsetters prettiness 
pensive: vespine 
ernie: irene 
reinsert: terrines 
reinter: rentier terrine 
nervier: vernier 
interests: triteness 
retinues: reunites 
nerviest: reinvest 
newsier: wieners 
entirety: eternity 
retinue: reunite uterine 
envier: venire 
roisterers: terrorises 
roisterer: terrorise 
peppier: preppie 
reprise: respire 
reprises: respires 
preterit: prettier 
esquire: queries 
quieter: requite 
eire: erie 
retires: retries terries 
series: sirees 
testier: trieste 
restive: veriest 
reviews: viewers 
review: viewer 
jeer: jere 
eek: eke 
keel: klee leek 
keels: leeks sleek 
keen: knee 
keynotes: keystone 
keens: knees 
evoker: revoke 
keep: peek peke 
keeps: peeks pekes 
ekes: seek 
eel: lee 
respell: speller 
respells: spellers 
resell: seller 
resells: sellers 
retells: tellers 
retell: teller 
employers: reemploys 
employer: reemploy 
pelmets: temples 
pelmet: temple 
elmer: merle 
remelts: smelter 
lenore: lorene 
nestler: relents 
lenses: lessen 
nettle: telnet 
evelyn: evenly 
polyesters: proselytes 
polyester: proselyte 
peel: pele 
leper: repel 
lepers: repels 
petrels: respelt 
peels: sleep 
leer: reel 
leers: reels 
settlers: trestles 
swelters: wrestles 
seltzers: seltzers 
letters: settler trestle 
swelter: welters wrestle 
restyle: tersely 
elvers: levers revels 
elver: lever revel 
eels: else lees 
sleets: steels 
selves: vessel 
sleet: steel stele 
sleety: steely 
menes: mesne semen 
menses: semens 
enemy: yemen 
meteors: remotes 
emoter: meteor remote 
presume: supreme 
merest: meters metres 
meter: metre 
meets: metes teems 
meet: mete teem 
rennets: tenners 
rennet: tenner 
opener: reopen 
openers: reopens 
serpens: spenser 
pertness: presents serpents 
present: repents serpent 
peens: penes 
erne: rene 
renters: sterner 
enters: ernest resent sterne tenser 
neuters: tenures tureens 
ensure: enures 
nerves: severn 
renews: resewn 
neuter: retune tenure tureen 
nerve: never verne 
newer: renew 
seen: sene 
essen: sense 
sente: teens tense 
events: steven 
evens: seven 
exporters: reexports 
exporter: reexport 
espressos: repossess 
espouser: repousse 
orestes: stereos 
oeuvres: overuse 
peer: pere 
presser: repress 
putterers: sputterer 
peers: spree 
pesters: presets 
perseus: peruses 
pester: peters preset 
pertest: pretest 
peruse: purees rupees 
puree: rupee 
pees: seep 
sweep: weeps 
quester: request 
rester: terser 
revers: server 
erse: seer sere 
esters: resets serest steers 
retests: setters streets tersest testers 
serves: severs verses 
resews: sewers 
ester: reset steer stere terse trees 
retest: setter street tester 
serve: sever veers verse 
ewers: resew sewer weser 
texture: urtexte 
ever: veer 
ewer: weer were 
eery: eyer 
sestet: testes tsetse 
essex: sexes 
sweet: weest 
ewes: wees 
ewe: wee 
fief: fife 
fifties: iffiest 
fitfulness: snuffliest 
fiefs: fifes 
fretful: truffle 
firelight: flightier 
fighters: freights 
fighter: freight refight 
infringe: refining 
inferring: infringer 
performing: preforming 
foresting: fostering 
finger: fringe 
fingers: fringes 
gunfires: refusing 
forge: gofer 
forges: gofers 
finisher: refinish 
fetishist: shiftiest 
flemish: himself 
furnisher: refurnish 
fortieths: frothiest 
flesh: shelf 
felinity: finitely 
file: leif lief life 
filler: refill 
fillers: refills 
loftier: trefoil 
filer: flier lifer rifle 
filers: fliers lifers rifles 
filters: lifters trifles 
filter: lifter 
files: flies 
filets: fliest itself stifle 
firestorms: reformists 
firestorm: reformist 
finer: infer 
fitness: infests 
feints: finest infest 
firer: frier 
firers: friers 
fires: fries frise serif 
sifters: strifes 
fissure: fussier 
refits: rifest sifter strife 
fustier: surfeit 
fixer: refix 
fiery: reify 
fluent: unfelt 
flyover: overfly 
flower: reflow 
fluster: restful 
felts: lefts 
flues: fuels 
felt: left 
flue: fuel 
perform: preform 
performs: preforms 
former: reform 
formers: reforms 
foretop: poofter 
forrest: forster 
ferrous: furores 
forests: fosters 
forest: fortes foster softer 
ferry: freyr fryer refry 
refs: serf 
fret: reft 
frey: frye 
jiggering: rejigging 
gingkoes: ginkgoes 
leggin: niggle 
leggins: niggles 
wigglers: wriggles 
wiggler: wriggle 
reorging: rogering 
ginger: nigger 
gingers: gingers niggers snigger 
gesturing: grungiest 
gingery: greying 
gurgles: luggers slugger 
gurgle: lugger 
muggers: smugger 
grunges: snugger 
houselights: lighthouses 
eighths: heights highest 
eighth: height 
hirelings: relishing 
heisting: nighties thingies 
english: shingle 
lighters: relights slighter 
lighter: relight 
hemings: meshing 
hinge: neigh 
gershwin: whingers 
hinges: neighs 
shewing: whinges 
hewing: whinge 
ethology: theology 
hungover: overhung 
hunger: rehung 
ghent: thegn 
kinglier: ringlike 
enlisting: listening tinseling 
silvering: slivering 
reliving: reviling 
immersing: simmering 
premising: simpering 
meriting: mitering 
repining: ripening 
insigne: seining 
reprising: respiring springier 
persisting: springiest 
grittiness: stringiest 
ignite: tieing 
lemming: memling 
gloominess: neologisms 
gremlin: mingler 
oenologist: ontologies 
enologist: neologist 
lowering: roweling 
legions: lingoes 
lingers: slinger 
ringlets: sterling 
ringlet: tingler 
lessing: singles 
glistens: singlets 
gluiness: ugliness 
glisten: singlet tingles 
lettings: settling 
typologies: typologies 
glisters: gristles 
glister: gristle 
gluier: uglier 
gluiest: ugliest 
mentoring: remington 
impugners: presuming 
pigment: temping 
nitrogens: ringtones 
nitrogen: ringtone 
ensigns: sensing 
nesting: tensing 
ensuing: gunnies 
netting: tenting 
reposing: spongier 
ignore: region 
resorting: restoring 
ignores: regions 
erupting: reputing 
niger: reign 
erring: ringer 
restrings: stringers 
restring: stringer 
ingres: reigns resign signer singer 
ingress: resigns signers singers 
resting: stinger 
strewing: wresting 
serving: versing 
swinger: wingers 
gustiness: gutsiness 
ingests: signets 
ingest: signet tinges 
setting: testing 
stewing: twinges 
sewing: swinge 
groupie: pirogue 
goiters: goitres goriest 
goiter: goitre 
egoists: stogies 
egoist: stogie 
gustier: gutsier 
gustiest: gutsiest 
guises: gussie 
gel: leg 
golem: gomel 
gunsel: lunges 
loge: ogle 
loges: ogles 
gulpers: splurge 
gels: legs 
glues: luges 
glue: luge 
goner: negro 
regrown: wronger 
goners: negros 
groupers: regroups 
grouper: regroup 
ergo: goer gore ogre 
reorg: roger 
reorgs: rogers 
growers: regrows 
grower: regrow 
goers: gores gorse ogres 
gorses: ogress 
grouse: rogues rouges rugose 
ergot: roget 
rogue: rouge 
egos: goes 
purges: spurge 
erg: reg 
surge: urges 
grey: gyre 
guests: gusset 
eh: he 
philosophies: philosophise 
shittier: thirties 
rethinks: thinkers 
rethink: thinker 
hikers: shriek shrike 
shrieks: shrikes 
hikes: sheik 
sherrill: shriller 
holstein: hotlines 
holiest: hostile 
philters: philtres 
philter: philtre 
hitler: lither 
lettish: lithest thistle 
heroism: moreish 
ownerships: shipowners 
ownership: shipowner 
heroins: inshore 
shiner: shrine 
shiners: shrines 
sherwin: whiners 
hines: shine 
newish: whines 
horsiest: shorties 
hoister: shortie 
perish: reship 
heir: hire 
hurries: rushier 
heirs: hires shier shire 
shivers: shrives 
swisher: wishers 
hitters: tithers 
withers: writhes 
shiver: shrive 
hitter: tither 
whiter: wither writhe 
heists: shiest shites thesis 
heist: shite 
theist: tithes 
whites: withes 
white: withe 
honkers: kherson 
houseworks: workhouses 
housework: workhouse 
hells: shell 
portholes: potholers 
porthole: potholer 
posthole: potholes 
holsters: hostlers 
holster: hostler 
helots: hostel hotels tholes 
hovels: shovel 
helot: hotel thole 
holey: hoyle 
helps: shlep 
hustlers: ruthless 
hurtles: hustler 
hurtle: luther 
hustles: lushest sleuths 
hustle: sleuth 
hormone: moorhen 
hormones: moorhens 
mothers: smother thermos 
musher: rheums 
hems: mesh 
heron: honer horne rhone 
herons: honers nosher 
onrushes: unhorses 
hornets: shorten thrones 
hornet: throne 
hones: shone 
shewn: whens 
hewn: when 
orthoses: shooters soothers 
hooters: shooter soother 
hoppers: shopper 
pothers: strophe 
pother: thorpe 
hero: hoer 
heros: hoers horse shore 
horses: shores 
others: throes 
hovers: shover shrove 
reshow: shower whores 
hoes: hose shoe 
hoses: shoes 
ethos: those 
rhesus: rushes ushers 
hes: she 
hess: shes 
thews: whets 
hews: shew 
thew: whet 
thewy: wyeth 
milliliters: millilitres 
milliliter: millilitre 
impressionism: misimpression 
priorities: prioritise 
inkiness: skinnies 
kristine: stinkier 
missile: similes 
elitisms: slimiest 
elitism: limiest 
elision: lionise 
elisions: lionises oiliness 
elitists: siltiest 
mistimes: semitism 
impression: permission 
impressions: permissions permissions 
missioner: remission 
missioners: remissions 
interims: minister 
interim: mintier termini 
miriest: mistier 
tientsin: tinniest 
propitiousness: superpositions 
petitions: pointiest 
ioniser: ironies noisier 
piniest: tiepins 
joiner: rejoin 
joiners: rejoins 
kiel: like 
likens: silken 
welkins: winkles 
welkin: winkle 
liker: rilke 
kilter: kirtle 
irksome: smokier 
kine: nike 
stinker: tinkers 
knitters: trinkets 
reknit: tinker 
knitter: trinket 
kepi: pike 
kippers: skipper 
kepis: pikes spike 
kisser: skiers 
strike: trikes 
kites: tikes 
kite: tike 
eli: lei lie 
lentils: lintels 
lentil: lintel 
overspills: spillovers 
overspill: spillover 
stiller: tillers trellis 
ellis: lisle 
evilly: lively vilely 
emil: lime mile 
monopolies: monopolise 
limner: merlin 
minutely: untimely 
limper: prelim 
prelims: simpler 
lumpier: plumier 
impels: simple 
misspelt: simplest 
limpest: limpets 
lumpiest: plumiest 
limes: miles slime smile 
slimes: smiles 
messily: smileys 
limeys: smiley 
emily: limey 
lien: line neil nile 
lenin: linen 
lonnie: online 
insole: lesion 
insoles: lesions lioness 
lewiston: towlines 
elution: outline 
spinel: spline 
lineups: lupines 
lineup: lupine unpile 
liens: lines niles 
enlists: listens silents tinsels 
enlist: inlets listen silent tinsel 
livens: snivel 
elvin: liven nevil 
perviously: previously 
loire: oiler oriel 
lorises: rissole 
loiters: toilers 
loiter: toiler 
litotes: toilets 
olives: voiles 
olivet: violet 
olive: voile 
ripples: slipper 
stippler: tipplers 
stipple: tipples 
lisper: perils pliers 
splitter: triplets 
piles: plies spiel 
lire: riel rile 
riles: slier 
sultriest: surtitles 
silvers: slivers 
lister: liters litres tilers 
sluttier: surtitle 
livers: silver sliver 
liter: litre relit tiler 
litter: tilter 
liver: livre viler 
livery: verily 
isle: leis lies 
islets: sliest stiles 
islet: stile tiles 
livest: vilest 
evils: levis lives veils 
lewis: wiles 
lite: tile 
evil: levi live veil vile 
lwei: wile 
wiley: wylie 
immures: rummies 
mien: mine 
instrument: nutriments 
importunes: resumption 
nepotism: pimentos 
monies: monies simeon 
moisten: sentimo 
mersin: miners 
minsters: trimness 
minster: minters 
mervin: vermin 
miens: mines nimes 
mittens: smitten 
minuets: minutes 
minuet: minute 
primrose: promiser 
importers: misreport 
importer: reimport 
imposer: promise semipro 
imposers: promises semipros 
mortiser: stormier 
isomer: moires 
isomers: mossier 
moister: mortise 
timeouts: titmouse 
primes: simper 
impress: premiss simpers 
impurest: stumpier 
spumier: umpires 
impure: umpire 
impetus: imputes 
emir: meir mire rime 
emirs: mires miser reims rimes 
misers: remiss 
mussier: surmise 
merits: mister miters mitres remits smiter timers 
merit: miter mitre remit timer 
mixer: remix 
smites: tmesis 
emits: items metis mites smite times 
emit: item mite time 
ironstone: serotonin 
pension: pinones 
intones: tension 
sunnite: tunnies 
ennius: ennuis 
poisoner: snoopier 
pointers: proteins 
pointer: protein 
opines: ponies 
nepotists: pottiness 
ironer: renoir 
nosier: senior 
neurosis: resinous 
orients: stonier 
orient: tonier 
eosin: noise 
envious: niveous 
envoi: ovine 
pein: pine 
printers: reprints sprinter 
printer: reprint 
ripens: sniper 
punier: purine unripe 
penis: pines snipe spine 
snipes: spines 
insteps: spinets 
instep: spinet 
erin: rein 
reins: resin rinse risen siren 
resins: rinses sirens 
insures: sunrise 
insert: inters niters nitres sinter 
inverts: striven 
twiners: winters 
insure: inures urines ursine 
inert: inter niter nitre trine 
twiner: winter 
inure: urine 
insets: steins 
sinews: swines 
inset: nites stein tines 
unites: unties 
nevis: veins vines 
sinew: swine wines 
nite: tine 
unite: untie 
nevi: vein vine 
inez: zine 
sootiest: tootsies 
prosiest: ripostes 
riposte: ropiest 
pervious: previous viperous 
poises: posies 
potties: tiptoes 
resistor: roisters sorriest 
rioters: roister 
rosiest: sorties stories 
pei: pie 
stripper: trippers 
pipers: sipper 
equips: piques 
equip: pique 
pier: ripe 
prier: riper 
priers: sprier 
piers: pries prise spire 
pisser: prises spires 
esprits: persist priests spriest sprites stripes 
pussier: suspire 
esprit: priest ripest sprite stripe tripes 
pyrites: stripey 
pisses: sepsis 
pistes: spites 
piste: spite 
swipe: wipes 
quires: risque squire 
quiet: quite 
terri: trier 
ires: rise sire 
rises: sires 
resists: sisters 
resist: resits sister 
rustiest: trusties 
resit: rites tiers tires tries 
titters: tritest 
twister: witters 
rivets: strive verist 
wriest: writes 
weirs: wires wiser 
rite: tier tire 
rive: vier 
weir: wire 
sites: sties 
suites: tissue 
exists: sexist 
issue: susie 
site: ties 
exist: exits 
ives: vies vise 
views: wives 
view: wive 
jolters: jostler 
jest: jets 
elk: lek 
pokes: spoke 
reworks: workers 
rework: worker 
stokers: strokes 
stoker: stroke 
stoke: tokes 
keys: skye 
outsells: sellouts 
outsell: sellout 
lovely: volley 
ells: sell 
swell: wells 
lyle: yell 
elm: lem 
plummest: plummets 
lemon: melon 
lemnos: lemons melons solemn 
lumpen: plenum 
elmo: lome mole 
morels: morsel 
melos: moles mosel 
molest: motels 
myrtle: termly 
melts: smelt 
leon: lone noel 
enrol: loner loren 
enrols: loners 
novels: sloven 
elton: lento 
leo: ole 
looters: retools 
looter: retool 
loose: oleos 
lope: pole 
stopple: topples 
loper: poler prole 
lopes: poles slope 
lore: orel 
lores: loser roles 
lessor: losers 
ostler: sterol 
louvers: louvres velours 
lovers: solver 
lowers: rowels slower 
louver: louvre velour 
lower: rowel 
lose: oles sloe 
loess: loses 
lotuses: solutes tousles 
stole: toles 
solute: tousle 
lowest: owlets towels 
louse: seoul 
loves: solve voles 
vowels: wolves 
owlet: towel 
love: vole 
purples: suppler 
pluses: pulses 
pelts: slept spelt 
lepus: pules pulse 
lept: pelt 
lusters: lustres results rustles sutlers ulsters 
luster: lustre result rustle sutler ulster 
lures: rules 
lyres: slyer 
lure: rule 
lyre: rely ryle 
slyest: styles 
lest: lets 
welty: wetly 
em: me 
resummon: summoner 
memos: somme 
monotones: moonstone 
nome: omen 
mentors: monster 
mounters: remounts 
mentor: merton 
mounter: remount 
meson: omens 
moneys: moneys 
monet: monte 
munster: sternum 
moore: romeo 
morose: romeos 
mope: poem 
moper: proem 
mopes: poems 
more: rome 
mores: morse 
mouses: mousse 
motes: smote 
moues: mouse 
meou: moue 
perms: sperm 
strumpet: trumpets 
estrum: muster 
muser: remus serum sumer 
emus: muse 
en: ne 
neon: none 
neurons: nonuser 
neons: nones 
sonnet: tenons tonnes 
tenon: tonne 
punnets: unspent 
eon: one 
poorness: snoopers 
ozones: snooze 
nope: open peon pone 
peron: prone 
postern: preston pronest 
opens: peons pones 
nero: oren reno 
overturns: turnovers 
overturn: turnover 
norse: senor snore 
senors: sensor snores 
nestor: stoner tenors tensor toners toners 
owners: resown worsen 
tenor: toner 
enos: eons noes nose ones 
onsets: stenos stones 
notes: onset seton steno stone tones 
nosey: noyes 
note: tone 
enow: owen 
zeno: zone 
pruners: spurner 
punster: punters 
returns: turners 
nurser: reruns 
return: turner 
nurture: untruer 
ernst: rents stern terns 
entrust: nutters 
tuners: unrest 
nurse: runes 
rent: tern 
ens: sen 
nest: nets sent tens 
netts: stent tents 
nevus: venus 
news: sewn wens 
net: ten 
nett: tent 
newt: went 
new: wen 
oppressor: proposers 
opposer: propose 
rooster: rooters 
rooter: torero 
ope: poe 
propers: prosper 
stopper: toppers 
pore: rope 
porters: presort reports 
posturer: troupers 
porter: report 
pores: poser prose ropes spore 
posers: proses spores 
posters: prestos 
protests: spotters 
poster: presto 
potters: protest 
posture: pouters proteus spouter troupes 
perot: toper 
pouter: troupe 
opes: peso pose 
pesos: poses posse 
opuses: spouse 
estop: pesto poets 
expos: poxes 
poet: tope 
quoter: torque 
quotes: toques 
quote: toque 
ore: roe 
resorts: rosters sorters 
resort: retros roster sorter torres 
retorts: rotters 
routers: trouser 
rouser: sourer 
retort: rotter 
eros: ores roes rose sore 
roses: sores 
sorest: stores tosser 
estrous: oestrus ousters sourest 
oysters: storeys 
rouses: serous 
servos: versos 
resows: sowers worses 
rotes: store 
otters: tortes 
ouster: routes souter 
strove: troves voters 
oyster: storey 
euros: roues rouse 
overs: roves servo verso 
resow: sower swore worse 
rote: tore 
otter: torte 
outer: outre route 
overt: trove voter 
tower: wrote 
euro: roue 
over: rove 
stove: votes 
owes: woes 
veto: vote 
owe: woe 
supper: uppers 
per: rep 
pursuers: usurpers 
pursuer: usurper 
pryers: spryer 
perry: pryer 
purses: supers 
putters: sputter 
erupts: purest 
purse: super 
preys: pyres 
peru: pure 
prexy: pyrex 
prey: pyre 
pests: steps 
setups: upsets 
pest: pets step 
setup: upset 
pesty: types 
pews: spew 
espy: yeps 
er: re 
truster: turrets 
retry: terry 
russets: trusses 
rests: tress 
estrus: russet surest 
strews: wrests 
ruses: users 
erst: rest tres 
truest: utters 
suture: uterus 
strew: trews wrest 
treys: tyres 
rues: ruse suer sure user 
trey: tyre 
rye: yer 
setts: stets tests 
stews: wests 
sues: uses 
sett: stet test 
vest: vets 
stew: west wets 
sue: use 
suez: zeus 
griffin: riffing 
goniff: offing 
stiff: tiffs 
luffs: sluff 
flushing: lungfish 
finking: knifing 
flirting: trifling 
flowing: fowling wolfing 
fringy: frying 
flog: golf 
flogs: golfs 
firths: shrift 
forth: froth 
kinfolks: kinsfolk 
filo: foil 
flits: lifts 
flit: lift 
first: rifts 
fists: sifts 
fist: fits sift 
spoonfuls: spoonsful 
flows: fowls wolfs 
flow: fowl wolf 
form: from 
founts: futons 
fount: futon 
poofs: spoof 
for: fro 
forts: frost 
furs: surf 
loggings: slogging 
lightings: slighting 
singling: slinging 
glinting: tingling 
signing: singing 
signings: singings 
girting: ringgit 
gingko: ginkgo 
gingkos: ginkgos 
glossing: goslings 
goring: gringo 
hitting: tithing 
whiting: withing 
hustling: sunlight 
spotlights: stoplights 
spotlight: stoplight 
lights: slight 
gnomish: moshing 
onrushing: unhorsing 
huntings: shunting 
hooping: poohing 
shooting: soothing 
horsing: shoring 
hotting: tonight 
gunship: pushing 
nights: things 
night: thing 
nighty: thingy 
girths: rights 
girth: right 
gish: sigh 
ghouls: loughs slough 
ghoul: lough 
gunshots: shotguns 
gunshot: noughts shotgun 
gosh: hogs 
ghost: goths 
sought: toughs 
ought: tough 
gush: hugs 
hug: ugh 
inkling: kilning linking 
inklings: slinking 
kingpin: pinking 
skirting: striking 
kissing: skiings 
skiving: vikings 
lilting: tilling 
lignin: lining 
ligroin: roiling 
lisping: pilings 
listing: silting tilings 
tilting: titling tlingit 
miring: riming 
misting: smiting timings 
innings: sinning 
ironings: rosining 
printings: sprinting 
inuring: ruining 
origins: signori 
pipings: sipping 
rising: siring 
irving: riving virgin 
kingston: stonking 
lumping: pluming 
lingo: login 
looping: pooling 
loosing: soloing 
looting: tooling 
lingos: logins losing 
luring: ruling 
lings: sling 
lyings: singly 
gustily: gutsily 
